ime,category
"house detective","hotel detective"
caviller,quibbler
cadger,moocher
heather,"heather mixture"
myxobacter,myxobacteria
signory,seigneury
"Lamaze method","Lamaze method of childbirth"
"Toll House cookie","chocolate chip cookie"
sanguineness,sanguinity
"dwarf pocket rat","kangaroo mouse"
foredge,"fore edge"
sleuthing,detection
idling,idleness
"Aix sponsa","wood duck"
neatness,tidiness
celebrater,celebrant
"Louis the German","Louis II"
"lap of honour","victory lap"
"John Hasbrouck Van Vleck","Van Vleck"
"vicious cycle","vicious circle"
salesroom,showroom
inhumation,burial
"Collinsia heterophylla","purple chinese houses"
"Piper longum","long pepper"
moonshell,"moon shell"
saboteur,"fifth columnist"
"window lock","sash fastener"
"laboratory bench","lab bench"
"locomotive engineer",engineer
"pass completion",completion
lampblack,"carbon black"
"ivory plant","ivory palm"
"lymphopathia venereum","lymphogranuloma venereum"
"Lonicera xylosteum","European fly honeysuckle"
symbololatry,symbolatry
brute,beast
brute,animal
palpitation,shaking
faqir,fakir
issuing,issue
"wood strawberry","wild strawberry"
"globular pearlite","granular pearlite"
"small calorie",calorie
aneroid,"aneroid barometer"
preservation,conservation
"flowering glume",lemma
"Saint John's","St. John's"
"cayenne pepper",cayenne
speculation,guess
speculation,meditation
"dry cleaner",cleaner
"standup comedian",gagman
"reference work","reference book"
"congenital pancytopenia","Fanconi's anemia"
"Xyris operculata","tall yellow-eye"
carangid,"carangid fish"
"Cyanocitta cristata","blue jay"
"methyl alcohol",methanol
"Penstemon rupicola","rock penstemon"
"Otto the Great","Otto I"
"Mimus polyglotktos",mockingbird
"agency security","government security"
"centre of immersion","center of buoyancy"
bounce,leap
nervus,nerve
enumerator,"census taker"
squabble,bicker
"tricyclic antidepressant",tricyclic
"sulphonic acid","sulfonic acid"
nauch,nautch
mindlessness,inanity
mindlessness,heedlessness
"post house",posthouse
earthman,tellurian
orbit,sphere
orbit,scope
orbit,"eye socket"
"good temper","good humor"
bounds,boundary
"Castanea dentata","American chestnut"
"fibre optic cable","fiber optic cable"
riata,lasso
"contemporary world","modern times"
hausen,beluga
"grape arbour","grape arbor"
acromegalia,acromegaly
incorporeality,immateriality
shepherd,sheepherder
lightheartedness,carefreeness
spoilation,spoil
cauterisation,cautery
"Firmiana simplex","Chinese parasol tree"
"solar collector","solar dish"
"sulphuric acid",vitriol
startup,inauguration
"dithered colour","nonsolid color"
camelhair,"camel's hair"
handrail,bannister
"Psettichthys melanostichus","sand sole"
"Inula helenium",elecampane
"tax boost",tax-increase
"feeling of movement",kinesthesia
briquet,briquette
"point of accumulation",limit
"philanthropic gift",philanthropy
"Bumelia lanuginosa","false buckthorn"
vendition,vending
"plexus autonomici","autonomic plexus"
"record album",album
"record album","phonograph album"
magnification,exaggeration
magnification,enlargement
"raspberry bush",raspberry
"dollar sign",dollar
"dollar sign","dollar mark"
"hard disk","hard disc"
cheeseflower,"tall mallow"
"Ulmus crassifolia","cedar elm"
"English yew","Old World yew"
"Eucalyptus fraxinoides","white mountain ash"
"catch phrase",catchphrase
"Lablab purpureus","hyacinth bean"
"pink sand verbena","beach sand verbena"
"Phaseolus limensis","lima bean"
"ad blitz","advertising campaign"
"fishing vessel","fishing boat"
"greyish brown",dun
"written language","written communication"
"megaloblastic anaemia","megaloblastic anemia"
randomisation,randomization
bugologist,entomologist
"ash-leaved maple","box elder"
rosefish,redfish
"pink paper daisy","pink-and-white everlasting"
cooperator,collaborator
mitsvah,mitzvah
"spruce squirrel","American red squirrel"
"antipsychotic agent","major tranquilizer"
morbidness,morbidity
morbidness,unwholesomeness
"Allegheny vine","climbing fumitory"
"tetradecanoic acid","myristic acid"
emptor,buyer
"false oat","tall oat grass"
"sulphur oxide","sulfur oxide"
"War to End War","World War I"
unchangeableness,changelessness
easiness,ease
"Bartramia longicauda","upland sandpiper"
"angel food cake","angel cake"
abnormalcy,abnormality
"Caesalpinia pulcherrima","pride of barbados"
saliency,salience
"get together",meeting
good-bye,adieu
"object of the verb","direct object"
clucking,cluck
nerves,nervousness
"football game",football
"battle royal",melee
"Felicia amelloides","blue daisy"
"Tom Collins",collins
cerement,pall
"Tringa totanus",redshank
"military headquarters",headquarters
"Atlantic bonito",skipjack
"hard roe",roe
scourger,flogger
"Ceroxylon alpinum","wax palm"
"Carex pseudocyperus","cypress sedge"
indisposition,reluctance
"widow bird",whydah
"learning ability",brain
"information processing system",computer
loyalty,commitment
"Turdus greyi","clay-colored robin"
"summer cohosh","American bugbane"
badness,bad
badness,naughtiness
photomosaic,mosaic
callus,callosity
incipience,incipiency
"Stenocarpus sinuatus","wheel tree"
counterbalance,counterweight
counterbalance,balance
demagog,demagogue
stutterer,stammerer
redshift,"red shift"
prelature,prelacy
"radioactive decay",decay
"endothelial myeloma","Ewing's sarcoma"
"press agency","news agency"
"acid hydrogen","acidic hydrogen"
"gong buoy","bell buoy"
"chenille cord",chenille
"ascomycetous fungus",ascomycete
gatekeeper,doorkeeper
"Pyrausta nubilalis","corn borer"
tolbooth,tollbooth
shirtfront,dickey
whipsnake,whip-snake
coalescency,coalescence
rudderstock,rudderpost
equipage,materiel
equipage,carriage
receptor,"sense organ"
"Saccharomyces ellipsoides","wine-maker's yeast"
"Lepidochelys kempii","Atlantic ridley"
windlessness,stillness
woodruff,"sweet woodruff"
starter,newcomer
starter,appetizer
starter,crank
"apex of the sun's way",apex
"logical argument",argumentation
presidentship,presidency
"root word",root
pesantren,pesantran
"sea lane",seaway
knocker,detractor
knocker,breast
"Chinese wood oil","tung oil"
"fetter bush",fetterbush
"bungee cord",bungee
"cutoff saw","crosscut saw"
nates,buttocks
"just deserts","poetic justice"
"capital of India","New Delhi"
"Josef von Sternberg","von Sternberg"
"Tanacetum balsamita",costmary
shite,crap
externality,outwardness
"Sistrurus miliaris","ground rattler"
"Enterobius vermicularis",pinworm
tactfulness,tact
martyrdom,calvary
"water dragon",lizard's-tail
"water dragon","marsh marigold"
"Botrychium lunaria",moonwort
"Malva sylvestris","tall mallow"
natator,swimmer
fluting,flute
"last name",surname
jillion,million
frappe,ice
"Eugene Sue",Sue
skullduggery,trickery
showtime,beginning
"court of domestic relations","family court"
"calendar week",week
"psychoactive substance","psychoactive drug"
quizzer,examiner
"west coast hemlock","western hemlock"
hushing,hiss
"needle bearing","ball bearing"
entropy,information
entropy,randomness
verifier,voucher
laurels,award
laurels,honor
"Capsicum baccatum","bird pepper"
furtherance,promotion
furtherance,forwarding
"scaup duck",scaup
"Viverricula malaccensis","small civet"
amenorrhoea,amenorrhea
"babies' slippers","bird's foot trefoil"
"hysterical neurosis",hysteria
rockfoil,saxifrage
condenser,capacitor
telfer,telpher
"unconditioned reflex",reflex
"public assistance","social welfare"
stockpile,reserve
"moss locust","bristly locust"
"national holiday","legal holiday"
"pasque flower",pasqueflower
parlor,"living room"
"lotus land",lotusland
superhighway,expressway
supposal,assumption
supposal,supposition
tinkerer,tinker
"Lepiota procera","parasol mushroom"
"Urtica pipulifera","Roman nettle"
nor'-nor'-east,"north northeast"
"chromatic colour","chromatic color"
treadle,pedal
"wild yellow lily","Canada lily"
autochthony,indigenousness
"manic-depressive psychosis","bipolar disorder"
"glycerol trimargarate",margarin
"prefrontal leukotomy",lobotomy
"burying ground",cemetery
"stiletto heel","spike heel"
copper,bull
"vena iliolumbalis","iliolumbar vein"
fanny,buttocks
fanny,"female genitalia"
aloofness,distance
"Dame Kiri Janette Te Kanawa","Te Kanawa"
souther,"south wind"
fairy-slipper,calypso
motivity,locomotion
"Cercopithecus talapoin",talapoin
cypher,nothing
cypher,cipher
"Psidium cattleianum","cattley guava"
violation,misdemeanor
violation,trespass
violation,irreverence
violation,rape
faecalith,coprolith
"Menticirrhus littoralis","silver whiting"
"second-hand store",thriftshop
"Rorippa islandica","marsh cress"
chatter,yak
"cyclone cellar","storm cellar"
"coach station","bus terminal"
"experimental condition",condition
dreaminess,languor
small-arm,firearm
"flying cat","flying lemur"
"flying cat",taguan
"foot race",footrace
side-look,side-glance
pailful,pail
"dip circle",inclinometer
"Salix alba sericea","silver willow"
redbrush,"red osier"
"Thuja plicata","western red cedar"
"crepe flower","crape myrtle"
"work study","time and motion study"
"police cruiser",cruiser
"record book",record
"banzai charge","banzai attack"
"solitary wave",soliton
prelate,archpriest
"spring frog","green frog"
"spring frog","leopard frog"
furfuraldehyde,furfural
ginglymus,"hinge joint"
illusion,delusion
illusion,"magic trick"
"breeze block","cinder block"
trickster,prankster
trickster,deceiver
shift,transformation
shift,switch
shift,fault
shift,"shift key"
shift,chemise
collectivisation,collectivization
altitude,elevation
"native peach",quandong
shine,radiance
earthnut,truffle
earthnut,peanut
lineament,quality
lineament,feature
"tibia valga",knock-knee
go-between,mediator
"philharmonic pitch","concert pitch"
friability,crumbliness
"Fagus sylvatica pendula","weeping beech"
"worldly goods","worldly possessions"
"line of scrimmage","scrimmage line"
"antidepressant drug",antidepressant
"fragrant water lily","water nymph"
eggwhisk,eggbeater
speaker,loudspeaker
pyrrhotine,pyrrhotite
"rose wine","blush wine"
swarthiness,darkness
"derby hat","bowler hat"
"long suit",forte
"basketball game",basketball
"truth quark","top quark"
"Habenaria nivea","snowy orchid"
"security measure","security system"
"swing music",swing
"Muslim calendar","Islamic calendar"
unrealism,abstractionism
"camphorated tincture of opium",paregoric
"Acanthocereus tetragonus","pitahaya cactus"
"Jasminum sambac","Arabian jasmine"
epithet,name
order,ordering
order,orderliness
order,decree
order,club
millenarist,millenarian
anthelminthic,vermifuge
tantaliser,tantalizer
cluster,bunch
millenarism,millenarianism
sanctimony,sanctimoniousness
"teachers college","normal school"
"sweet reseda",mignonette
"Carcharhinus plumbeus","sandbar shark"
"potential drop","electric potential"
shakeup,reorganization
"Marmota caligata","hoary marmot"
"interpretative dance","interpretive dance"
anaphora,epanaphora
"athletic competition","athletic contest"
"Dracaena draco","dragon tree"
scrape,abrasion
scrape,scratch
"equinoctial line","celestial equator"
answerer,respondent
"vertical fin","vertical stabilizer"
scraps,garbage
needle-wood,needlewood
"induration of the arteries",arteriosclerosis
"Lysimachia ciliatum","fringed loosestrife"
liquidiser,blender
"daisy-leaved grape fern","daisyleaf grape fern"
provocation,aggravation
provocation,incitement
"Trachipterus arcticus",dealfish
expertise,expertness
fancy,illusion
fancy,fondness
callathump,callithump
callathump,shivaree
"Cotula coronopifolia","brass buttons"
"necrobiosis lipoidica diabeticorum","necrobiosis lipoidica"
religionism,religiosity
"II Timothy","Second Epistle of Paul the Apostle to Timothy"
lutenist,lutist
"second cranial nerve","optic nerve"
immatureness,immaturity
lowan,"mallee fowl"
"Acrocephalus schoenobaenus","sedge warbler"
"Physalis philadelphica",tomatillo
diminution,decline
diminution,decrease
"Ipomoea tricolor","common morning glory"
scouring,scrub
"silver berry","Russian olive"
"silver berry",silverberry
"detention centre",bullpen
hackee,"eastern chipmunk"
"American aspen","American quaking aspen"
"Pseudomonas solanacearum","ring rot bacteria"
hacker,hack
"candle holder",candlestick
clearcutness,preciseness
"focal length","focal distance"
"Corydalis solida",fumewort
"Tricholoma irinum","Clitocybe irina"
lower,"lower berth"
scrawl,scribble
freak,addict
crenellation,battlement
crenellation,crenelation
looker,spectator
looker,smasher
"canned goods","canned food"
"Spinus tristis","New World goldfinch"
offender,wrongdoer
"Coleus aromaticus","country borage"
glassworker,"glass cutter"
hallah,challah
empennage,tail
feathertop,"feather reed grass"
youthfulness,youth
"milk cow","dairy cattle"
"general agent","universal agent"
"general agent","insurance broker"
"Trachinotus falcatus",permit
"xerophytic plant","desert plant"
gospeller,evangelist
goldfinch,"New World goldfinch"
"Allionia incarnata","trailing four o'clock"
wristband,watchband
"Euphorbia medusae","medusa's head"
musicalness,musicality
"Eryngium yuccifolium","rattlesnake master"
doggie,pooch
cunctation,procrastination
irrelevancy,irrelevance
"Varanus niloticus","African monitor"
"coffee bar",cafe
"wood stork","wood ibis"
"Lactobacillus acidophilus",acidophilus
"Emberiza aureola","yellow-breasted bunting"
sailplaning,glide
"John Henry O'Hara",O'Hara
"chukka boot",chukka
"Newton's second law","second law of motion"
"non pros","non prosequitur"
goldworker,goldsmith
"pound sterling","British pound"
"blue ribbon jury","special jury"
sampling,"sample distribution"
"Pascal's law of fluid pressures","Pascal's law"
sendup,parody
bending,deflection
haemorrhage,bleeding
birth,parturition
birth,parentage
"Syringa josikaea","Hungarian lilac"
endplate,end-plate
"flying lizard",dragon
"negative stimulation",turnoff
softie,softy
lapidation,stoning
"personal matters","personal business"
verdolagas,"common purslane"
"variola minor virus","variola minor"
"hipped tile","hip tile"
trunkfish,boxfish
"skin patch","transdermal patch"
"mad-dog skullcap","blue pimpernel"
pet-food,petfood
"selective service",conscription
"bench vise",vise
"letters of marque","letter of marque"
conoid,cone
hoo-hah,disturbance
sectary,sectarian
mercantilism,commerce
"backup man",stand-in
"bastard ridley","Atlantic ridley"
"Melastoma malabathricum","Indian rhododendron"
undershirt,singlet
dwarf,gnome
"Foeniculum vulgare dulce","Florence fennel"
"topgallant sail",topgallant
"coriander seed",coriander
counterfeiter,forger
"Passiflora laurifolia","Jamaica honeysuckle"
lepidoptery,lepidopterology
"chromosonal disorder","chromosomal aberration"
"bell cot","bell cote"
liaison,affair
"western black-legged tick","Ixodes pacificus"
rippling,ripple
"Sturnus vulgaris","common starling"
"genitourinary system","urogenital system"
"widow woman",widow
bitterwood,quassia
bitterwood,"Jamaica quassia"
bitterwood,"paradise tree"
cupel,"bone-ash cup"
locater,locator
"pin oak","laurel oak"
mellowness,fullness
"chronic eczema","lichtenoid eczema"
"voice of conscience","wee small voice"
programming,scheduling
"skipjack tuna",skipjack
blurriness,indistinctness
"sick parade","sick call"
"Zantedeschia rehmanii","pink calla"
"standing stone",menhir
"test suit","test case"
"target range","firing range"
elderly,aged
"antihypertensive drug",antihypertensive
jazzman,"jazz musician"
virtuoso,ace
gunshot,gunfire
sender,transmitter
turnover,"employee turnover"
